brands,latitude,longitude,street_address,city,postal_code,week_start_date,median_dwell,h3_cell,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,total_visits,android,ios
Burger King,33.6603,-117.8737,2122 SE Bristol St,Newport Beach,92660.0,2021-08-30,23.0,8629a54d7ffffff,8,12,6,2,8,9,7,52,16,16
Burger King,33.6603,-117.8737,2122 SE Bristol St,Newport Beach,92660.0,2021-09-06,11.0,8629a54d7ffffff,5,12,10,11,18,14,6,76,23,27
Burger King,33.6603,-117.8737,2122 SE Bristol St,Newport Beach,92660.0,2021-09-13,12.0,8629a54d7ffffff,18,11,17,7,16,12,9,90,18,38
Burger King,33.6603,-117.8737,2122 SE Bristol St,Newport Beach,92660.0,2021-09-20,11.5,8629a54d7ffffff,9,7,14,12,11,13,14,80,18,28
Burger King,33.6603,-117.8737,2122 SE Bristol St,Newport Beach,92660.0,2021-09-27,10.0,8629a54d7ffffff,10,10,17,15,11,11,3,77,17,37
Burger King,33.6603,-117.8737,2122 SE Bristol St,Newport Beach,92660.0,2021-10-04,13.0,8629a54d7ffffff,14,15,19,14,15,3,3,83,23,31
Burger King,33.6603,-117.8737,2122 SE Bristol St,Newport Beach,92660.0,2021-10-11,10.0,8629a54d7ffffff,11,6,7,13,11,6,10,64,23,23
Burger King,33.6603,-117.8737,2122 SE Bristol St,Newport Beach,92660.0,2021-10-18,10.0,8629a54d7ffffff,12,8,14,14,14,10,6,78,18,37
Burger King,33.6603,-117.8737,2122 SE Bristol St,Newport Beach,92660.0,2021-10-25,10.0,8629a54d7ffffff,11,14,13,13,10,7,7,75,18,34
Burger King,33.6603,-117.8737,2122 SE Bristol St,Newport Beach,92660.0,2021-11-01,14.0,8629a54d7ffffff,11,8,11,9,12,6,8,65,22,16
Burger King,33.6603,-117.8737,2122 SE Bristol St,Newport Beach,92660.0,2021-11-08,10.0,8629a54d7ffffff,20,19,19,21,12,10,3,104,25,50
Burger King,33.6603,-117.8737,2122 SE Bristol St,Newport Beach,92660.0,2021-11-15,9.0,8629a54d7ffffff,12,17,14,14,8,8,6,79,23,37
Burger King,33.6603,-117.8737,2122 SE Bristol St,Newport Beach,92660.0,2021-11-22,9.5,8629a54d7ffffff,11,12,10,1,6,10,4,54,18,27
Burger King,33.6603,-117.8737,2122 SE Bristol St,Newport Beach,92660.0,2021-11-29,9.0,8629a54d7ffffff,11,14,12,12,14,13,2,78,23,32
Burger King,33.6603,-117.8737,2122 SE Bristol St,Newport Beach,92660.0,2021-12-06,11.0,8629a54d7ffffff,8,14,14,18,8,6,7,75,13,33
Burger King,33.6603,-117.8737,2122 SE Bristol St,Newport Beach,92660.0,2021-12-13,8.0,8629a54d7ffffff,18,9,11,24,11,7,4,84,17,46
Burger King,33.6603,-117.8737,2122 SE Bristol St,Newport Beach,92660.0,2021-12-20,8.0,8629a54d7ffffff,13,7,15,14,1,4,3,57,15,35
Burger King,33.6603,-117.8736,2122 SE Bristol St,Newport Beach,92660.0,2020-12-28,31.0,8629a54d7ffffff,10,9,13,4,4,4,9,53,16,19
Burger King,33.6603,-117.8736,2122 SE Bristol St,Newport Beach,92660.0,2021-01-04,11.0,8629a54d7ffffff,6,6,10,9,8,8,4,51,17,12
Burger King,33.6603,-117.8736,2122 SE Bristol St,Newport Beach,92660.0,2021-01-11,32.0,8629a54d7ffffff,6,11,9,11,12,7,4,60,12,24
Burger King,33.6603,-117.8736,2122 SE Bristol St,Newport Beach,92660.0,2021-01-18,11.0,8629a54d7ffffff,12,7,10,13,16,8,2,68,18,24
Burger King,33.6603,-117.8736,2122 SE Bristol St,Newport Beach,92660.0,2021-01-25,9.0,8629a54d7ffffff,14,16,6,6,10,9,6,67,21,29
Burger King,33.6603,-117.8736,2122 SE Bristol St,Newport Beach,92660.0,2021-02-01,8.5,8629a54d7ffffff,10,11,13,8,7,5,10,64,17,33
Burger King,33.6603,-117.8736,2122 SE Bristol St,Newport Beach,92660.0,2021-02-08,17.0,8629a54d7ffffff,10,10,13,8,12,11,5,69,12,29
Burger King,33.6603,-117.8736,2122 SE Bristol St,Newport Beach,92660.0,2021-02-15,13.5,8629a54d7ffffff,9,8,14,10,18,5,6,70,8,28
Burger King,33.6603,-117.8736,2122 SE Bristol St,Newport Beach,92660.0,2021-02-22,8.5,8629a54d7ffffff,11,15,12,15,10,8,13,84,19,44
Burger King,33.6603,-117.8736,2122 SE Bristol St,Newport Beach,92660.0,2021-03-01,9.0,8629a54d7ffffff,13,8,10,16,16,17,6,86,20,36
Burger King,33.6603,-117.8736,2122 SE Bristol St,Newport Beach,92660.0,2021-03-08,12.0,8629a54d7ffffff,10,12,13,19,15,3,7,79,17,36
Burger King,33.6603,-117.8736,2122 SE Bristol St,Newport Beach,92660.0,2021-03-15,8.0,8629a54d7ffffff,15,7,12,14,15,9,3,75,20,35
Burger King,33.6603,-117.8736,2122 SE Bristol St,Newport Beach,92660.0,2021-03-22,9.0,8629a54d7ffffff,14,9,12,13,9,14,10,81,20,40
Burger King,33.6603,-117.8736,2122 SE Bristol St,Newport Beach,92660.0,2021-03-29,10.0,8629a54d7ffffff,13,10,13,20,15,15,8,94,25,43
