brands,latitude,longitude,street_address,city,postal_code,week_start_date,median_dwell,h3_cell,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,total_visits,android,ios
Taco Bell,33.501,-117.6605,31771 Del Obispo St,San Juan Capistrano,92675.0,2021-09-27,9.0,8629a094fffffff,7,11,10,18,20,26,13,105,34,58
Taco Bell,33.501,-117.6605,31771 Del Obispo St,San Juan Capistrano,92675.0,2021-10-04,8.0,8629a094fffffff,12,9,15,14,27,15,10,102,29,61
Taco Bell,33.501,-117.6605,31771 Del Obispo St,San Juan Capistrano,92675.0,2021-10-11,10.0,8629a094fffffff,6,13,8,20,18,16,8,89,15,57
Taco Bell,33.501,-117.6605,31771 Del Obispo St,San Juan Capistrano,92675.0,2021-10-18,7.0,8629a094fffffff,13,8,18,11,27,14,15,106,24,77
Taco Bell,33.501,-117.6605,31771 Del Obispo St,San Juan Capistrano,92675.0,2021-10-25,8.0,8629a094fffffff,14,8,17,16,21,17,18,111,22,75
Taco Bell,33.501,-117.6605,31771 Del Obispo St,San Juan Capistrano,92675.0,2021-11-01,8.0,8629a094fffffff,11,11,21,8,19,8,14,92,31,41
Taco Bell,33.501,-117.6605,31771 Del Obispo St,San Juan Capistrano,92675.0,2021-11-08,8.0,8629a094fffffff,8,8,14,13,14,12,17,86,32,43
Taco Bell,33.501,-117.6605,31771 Del Obispo St,San Juan Capistrano,92675.0,2021-11-15,8.0,8629a094fffffff,13,13,18,10,16,13,14,97,26,62
Taco Bell,33.501,-117.6605,31771 Del Obispo St,San Juan Capistrano,92675.0,2021-11-22,8.0,8629a094fffffff,18,15,29,11,14,4,8,99,40,47
Taco Bell,33.501,-117.6605,31771 Del Obispo St,San Juan Capistrano,92675.0,2021-11-29,7.0,8629a094fffffff,12,12,23,14,13,15,17,106,32,63
Taco Bell,33.501,-117.6605,31771 Del Obispo St,San Juan Capistrano,92675.0,2021-12-06,7.0,8629a094fffffff,17,7,21,15,18,21,21,120,29,76
Taco Bell,33.501,-117.6605,31771 Del Obispo St,San Juan Capistrano,92675.0,2021-12-13,9.0,8629a094fffffff,13,16,11,16,15,18,11,100,22,63
Taco Bell,33.501,-117.6605,31771 Del Obispo St,San Juan Capistrano,92675.0,2021-12-20,9.0,8629a094fffffff,19,22,11,10,11,0,16,89,23,51
Taco Bell,33.5263,-117.7108,30022 Crown Valley Pkwy,Laguna Niguel,92677.0,2020-12-28,10.5,8629a54b7ffffff,7,12,10,10,8,17,6,70,16,48
Taco Bell,33.5263,-117.7108,30022 Crown Valley Pkwy,Laguna Niguel,92677.0,2021-01-04,9.5,8629a54b7ffffff,4,7,9,15,13,14,10,72,11,50
Taco Bell,33.5263,-117.7108,30022 Crown Valley Pkwy,Laguna Niguel,92677.0,2021-01-11,10.0,8629a54b7ffffff,10,13,8,18,23,16,12,100,22,65
Taco Bell,33.5263,-117.7108,30022 Crown Valley Pkwy,Laguna Niguel,92677.0,2021-01-18,9.0,8629a54b7ffffff,24,12,9,9,14,5,2,75,13,53
Taco Bell,33.5263,-117.7108,30022 Crown Valley Pkwy,Laguna Niguel,92677.0,2021-01-25,13.0,8629a54b7ffffff,6,8,9,13,19,9,14,78,13,51
Taco Bell,33.5263,-117.7108,30022 Crown Valley Pkwy,Laguna Niguel,92677.0,2021-02-01,10.5,8629a54b7ffffff,8,7,4,17,13,17,8,74,14,46
Taco Bell,33.5263,-117.7108,30022 Crown Valley Pkwy,Laguna Niguel,92677.0,2021-02-08,9.0,8629a54b7ffffff,4,14,8,15,21,14,9,85,19,55
Taco Bell,33.5263,-117.7108,30022 Crown Valley Pkwy,Laguna Niguel,92677.0,2021-02-15,10.0,8629a54b7ffffff,14,9,11,17,24,14,11,100,16,59
Taco Bell,33.5263,-117.7108,30022 Crown Valley Pkwy,Laguna Niguel,92677.0,2021-02-22,12.0,8629a54b7ffffff,9,13,16,19,23,20,13,113,15,71
Taco Bell,33.5263,-117.7108,30022 Crown Valley Pkwy,Laguna Niguel,92677.0,2021-03-01,10.0,8629a54b7ffffff,14,14,5,15,22,14,17,101,19,71
Taco Bell,33.5263,-117.7108,30022 Crown Valley Pkwy,Laguna Niguel,92677.0,2021-03-08,8.0,8629a54b7ffffff,16,10,14,15,22,4,8,89,19,51
Taco Bell,33.5263,-117.7108,30022 Crown Valley Pkwy,Laguna Niguel,92677.0,2021-03-15,8.0,8629a54b7ffffff,16,20,7,11,20,14,8,96,16,66
Taco Bell,33.5263,-117.7108,30022 Crown Valley Pkwy,Laguna Niguel,92677.0,2021-03-22,8.5,8629a54b7ffffff,16,10,18,10,23,16,15,108,19,72
Taco Bell,33.5263,-117.7108,30022 Crown Valley Pkwy,Laguna Niguel,92677.0,2021-03-29,7.0,8629a54b7ffffff,14,11,17,25,27,17,19,130,20,98
Taco Bell,33.5263,-117.7108,30022 Crown Valley Pkwy,Laguna Niguel,92677.0,2021-04-05,7.0,8629a54b7ffffff,12,21,20,15,30,15,23,136,28,95
Taco Bell,33.5263,-117.7108,30022 Crown Valley Pkwy,Laguna Niguel,92677.0,2021-04-12,9.0,8629a54b7ffffff,11,20,16,14,28,25,17,131,20,111
Taco Bell,33.5263,-117.7108,30022 Crown Valley Pkwy,Laguna Niguel,92677.0,2021-04-19,8.0,8629a54b7ffffff,24,8,9,12,18,16,16,103,21,76
Taco Bell,33.5263,-117.7108,30022 Crown Valley Pkwy,Laguna Niguel,92677.0,2021-04-26,7.0,8629a54b7ffffff,16,7,10,12,19,18,13,95,17,68
Taco Bell,33.5263,-117.7108,30022 Crown Valley Pkwy,Laguna Niguel,92677.0,2021-05-03,9.0,8629a54b7ffffff,14,15,16,18,20,20,8,111,20,79
Taco Bell,33.5263,-117.7108,30022 Crown Valley Pkwy,Laguna Niguel,92677.0,2021-05-10,8.0,8629a54b7ffffff,21,13,15,13,22,14,10,108,18,68
Taco Bell,33.5263,-117.7108,30022 Crown Valley Pkwy,Laguna Niguel,92677.0,2021-05-17,7.5,8629a54b7ffffff,11,13,14,14,21,25,16,114,24,73
Taco Bell,33.5263,-117.7108,30022 Crown Valley Pkwy,Laguna Niguel,92677.0,2021-05-24,8.0,8629a54b7ffffff,16,8,19,15,21,20,22,121,15,87
Taco Bell,33.5263,-117.7108,30022 Crown Valley Pkwy,Laguna Niguel,92677.0,2021-05-31,8.0,8629a54b7ffffff,17,15,26,13,16,13,16,116,15,78
Taco Bell,33.5263,-117.7108,30022 Crown Valley Pkwy,Laguna Niguel,92677.0,2021-06-07,8.0,8629a54b7ffffff,12,15,14,15,14,18,17,105,13,71
Taco Bell,33.5263,-117.7108,30022 Crown Valley Pkwy,Laguna Niguel,92677.0,2021-06-14,7.0,8629a54b7ffffff,18,21,12,14,13,21,15,114,21,81
